id,vessel_id,lat,lon,speed,course,status,destination,eta,last_report_at,recorded_at,geom
10129,3,-1.27112,116.80611,0,110.6°,Sailing,"Balikpapan, Indonesia","ATA: May 16, 16:15 UTC",2026-05-17 01:24:00+07,2026-05-17 01:27:38.589874+07,0101000020E6100000A1BE654E97335D4011AAD4EC8156F4BF
10137,3,-1.27111,116.80612,0,110.6°,Sailing,"Balikpapan, Indonesia","ATA: May 16, 16:15 UTC",2026-05-17 01:46:00+07,2026-05-17 01:49:57.939434+07,0101000020E6100000B329577897335D409FE579707756F4BF
10143,3,-1.27111,116.80612,0,110.6°,Sailing,"Balikpapan, Indonesia","ATA: May 16, 16:15 UTC",2026-05-17 02:00:00+07,2026-05-17 02:04:46.523428+07,0101000020E6100000B329577897335D409FE579707756F4BF
10151,3,-1.2710984,116.80611,0,110°,Stopped,"","",2026-05-17 02:20:00+07,2026-05-17 02:28:46.197172+07,0101000020E6100000A1BE654E97335D4082F79F466B56F4BF
10156,3,-1.27111,116.80611,0,110.6°,Sailing,"Balikpapan, Indonesia","ATA: May 16, 16:15 UTC",2026-05-17 02:40:00+07,2026-05-17 02:43:28.215451+07,0101000020E6100000A1BE654E97335D409FE579707756F4BF
10163,3,-1.27109,116.8061,0,110.6°,Sailing,"Balikpapan, Indonesia","ATA: May 16, 16:15 UTC",2026-05-17 02:57:00+07,2026-05-17 03:01:43.201996+07,0101000020E61000008F53742497335D40BC5CC4776256F4BF
10168,3,-1.2711,116.80611,0,110.6°,Sailing,N/A,ETA: -,2026-05-17 03:12:00+07,2026-05-17 03:15:52.992249+07,0101000020E6100000A1BE654E97335D402D211FF46C56F4BF
10177,3,-1.27112,116.8061,0,110.6°,Sailing,"Balikpapan, Indonesia","ATA: May 16, 16:15 UTC",2026-05-17 03:35:00+07,2026-05-17 03:36:09.628284+07,0101000020E61000008F53742497335D4011AAD4EC8156F4BF
10182,3,-1.27112,116.8061,0,110.6°,Sailing,"Balikpapan, Indonesia","ATA: May 16, 16:15 UTC",2026-05-17 03:53:00+07,2026-05-17 03:54:10.160629+07,0101000020E61000008F53742497335D4011AAD4EC8156F4BF
10186,3,-1.2711149,116.80609,0,110°,Stopped,"","",2026-05-17 04:05:00+07,2026-05-17 04:08:50.674797+07,0101000020E61000007DE882FA96335D403D55CF937C56F4BF
10194,3,-1.2711183,116.80611,0,110°,Stopped,"","",2026-05-17 04:23:00+07,2026-05-17 04:25:59.98893+07,0101000020E6100000A1BE654E97335D40CA8D7D248056F4BF
10201,3,-1.2711,116.8061,0,110.6°,Sailing,"Balikpapan, Indonesia","ATA: May 16, 16:15 UTC",2026-05-17 04:38:00+07,2026-05-17 04:38:57.902734+07,0101000020E61000008F53742497335D402D211FF46C56F4BF
